;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59
E_tot; 9.57 ; 11.28 ; 12.74 ; 14.00 ; 15.10 ; 15.96 ; 16.70 ; 17.46 ; 18.22 ; 19.00 ; 19.79 ; 20.56 ; 21.34 ; 22.04 ; 22.68 ; 23.27 ; 23.80 ; 24.27 ; 24.68 ; 25.01 ; 25.33 ; 25.63 ; 25.82 ; 25.81 ; 25.53 ; 23.32 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M_at;787;829;918.5;1012.9;1110.1;1208.5;1306.2;1402.5;1498;1593.3;1689;1785.35529;1882.5;1980.7;2079.4;2178.1;2276.6;2374.6;2471.8;2568;2662.6;2756;2848.2;2938.5;3025.3;3106.4;3163.2;2987.8;2841;2718;2614.8;2528.1;2455.1;2393.5;2341.4;2297.1;2259.5;2227.3;2199.6;2175.8;2155.1;2137;2121.1;2107;2094.4;2083.1;2072.9;2063.5;2054.9;2046.9;2039.4;2032.3;2025.6;2019.2;2013.1;2007.2;2001.5;1995.9;1990.4;1985.1
M_up;1600;1618.7;1641.4;1673.7;1715.7;1767.1;1827.7;1896.9;1974;2058.5;2150.1;2248.4031;2353.2;2464.1;2581.1;2703.8;2832;2965.4;3103.6;3246.2;3393;3543.5;3697.4;3854.3;4014;4175.7;4338.8;4500.2;4632.1;4739.6;4826.8;4897;4953.2;4997.7;5032.6;5059.4;5079.4;5094;5103.9;5110;5113;5113.3;5111.4;5107.8;5102.6;5096.3;5088.9;5080.7;5071.8;5062.3;5052.4;5042.1;5031.5;5020.7;5009.7;4998.5;4987.3;4975.9;4964.5;4953
M_lo;10010;10010.5;10011.1;10011.8;10012.6;10013.7;10015;10016.7;10018.6;10021;10023.8;10026.99547;10030.7;10035;10039.8;10045.1;10051.1;10057.7;10065;10073;10081.7;10091.1;10101.2;10112.1;10123.8;10136.3;10149.6;10163.7;10178.5;10194.1;10210.1;10226.6;10243.4;10260.5;10277.8;10295.2;10312.8;10330.5;10348.2;10366;10383.7;10401.5;10419.3;10437;10454.7;10472.4;10490;10507.6;10525.1;10542.6;10560;10577.3;10594.6;10611.8;10629;10646;10663.1;10680;10696.9;10713.7
T_at;0.83;0.98;1.23;1.52;1.832;2.151;2.468;2.778;3.078;3.368;3.648;3.91062;4.16;4.397;4.625;4.843;5.053;5.254;5.448;5.635;5.815;5.988;6.154;6.314;6.467;6.608;6.694;6.703;6.665;6.602;6.527;6.447;6.369;6.296;6.229;6.169;6.115;6.068;6.027;5.991;5.961;5.934;5.911;5.891;5.874;5.859;5.845;5.834;5.823;5.813;5.805;5.797;5.789;5.782;5.775;5.768;5.761;5.755;5.748;5.742
T_lo;0.007;0.048;0.095;0.151;0.22;0.3;0.393;0.497;0.611;0.734;0.866;1.00487;1.15;1.301;1.455;1.614;1.775;1.939;2.105;2.272;2.44;2.609;2.778;2.947;3.115;3.283;3.449;3.611;3.766;3.911;4.045;4.169;4.283;4.388;4.483;4.57;4.65;4.724;4.791;4.853;4.909;4.962;5.011;5.056;5.097;5.136;5.172;5.206;5.237;5.267;5.294;5.32;5.343;5.366;5.386;5.406;5.424;5.441;5.457;5.471
F;1.6;2.07;2.65;3.21;3.73;4.21;4.65;5.06;5.45;5.81;6.16;6.46;6.74;7.02;7.28;7.52;7.76;7.99;8.2;8.4;8.6;8.78;8.96;9.12;9.28;9.4;9.29;9;8.74;8.51;8.31;8.14;7.99;7.86;7.75;7.65;7.56;7.49;7.43;7.37;7.32;7.28;7.24;7.2;7.17;7.14;7.12;7.09;7.07;7.05;7.03;7.01;6.99;6.98;6.96;6.95;6.93;6.91;6.9;6.89
slr_TE; 0.11 ; 0.12 ; 0.14 ; 0.16 ; 0.18 ; 0.20 ; 0.23 ; 0.26 ; 0.30 ; 0.33 ; 0.37 ; 0.41 ; 0.46 ; 0.50 ; 0.55 ; 0.60 ; 0.64 ; 0.69 ; 0.75 ; 0.80 ; 0.85 ; 0.90 ; 0.96 ; 1.01 ; 1.07 ; 1.12 ; 1.18 ; 1.23 ; 1.28 ; 1.33 ; 1.37 ; 1.42 ; 1.46 ; 1.50 ; 1.54 ; 1.57 ; 1.61 ; 1.64 ; 1.67 ; 1.71 ; 1.74 ; 1.77 ; 1.79 ; 1.82 ; 1.85 ; 1.87 ; 1.90 ; 1.92 ; 1.95 ; 1.97 ; 1.99 ; 2.01 ; 2.04 ; 2.06 ; 2.08 ; 2.09 ; 2.11 ; 2.13 ; 2.15 ; 2.17 
gsic_remain; 0.25 ; 0.24 ; 0.23 ; 0.22 ; 0.21 ; 0.19 ; 0.18 ; 0.16 ; 0.15 ; 0.13 ; 0.12 ; 0.10 ; 0.09 ; 0.08 ; 0.07 ; 0.06 ; 0.05 ; 0.04 ; 0.03 ; 0.03 ; 0.02 ; 0.02 ; 0.01 ; 0.01 ; 0.01 ; 0.01 ; 0.01 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
gsic_melt; 0.007 ; 0.009 ; 0.011 ; 0.012 ; 0.014 ; 0.015 ; 0.015 ; 0.015 ; 0.015 ; 0.015 ; 0.014 ; 0.013 ; 0.012 ; 0.011 ; 0.010 ; 0.009 ; 0.008 ; 0.007 ; 0.006 ; 0.005 ; 0.004 ; 0.004 ; 0.003 ; 0.002 ; 0.002 ; 0.002 ; 0.001 ; 0.001 ; 0.001 ; 0.001 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 ; 0.000 
