;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59
US;0.178518;0.246964727;0.242792879;0.237481642;0.233762057;0.23225168;0.232928317;0.233429812;0.233725066;0.233389769;0.233360573;0.2336839;0.234164579;0.234521414;0.234956114;0.235127157;0.235468452;0.235730705;0.235795001;0.235769389;0.235670756;0.235827664;0.235969152;0.236046189;0.235955003;0.236289525;0.236433384;0.236353798;0.236227915;0.235569668;0.235227511;0.23522973;0.235353134;0.235313305;0.23531204;0.235359494;0.235502813;0.235467;0.235454961;0.235466752;0.235519718;0.235664006;0.235624444;0.23560149;0.235586504;0.235575104;0.235564767;0.23555335;0.235537623;0.235510739;0.235456654;0.235336885;0.235058632;0.234397469;0.232807976;0.22854709;0.218103048;0.191402902;0.116114574;0
EU;0.1746;0.225067828;0.22225067;0.220220761;0.217924678;0.217574056;0.219053484;0.220311484;0.22231895;0.226807683;0.230294434;0.231006385;0.231622011;0.232058288;0.232460047;0.232729434;0.233046173;0.233409645;0.233840779;0.234412229;0.234852288;0.234949975;0.235059458;0.235145553;0.235147755;0.235454174;0.235599501;0.235592048;0.235307326;0.234380947;0.233835169;0.233789814;0.233877717;0.233814175;0.233814925;0.233923004;0.233867498;0.233868856;0.233969251;0.233890281;0.233833129;0.233791162;0.233768543;0.233784771;0.233891083;0.233812185;0.233750086;0.233694278;0.233637854;0.233572382;0.233481355;0.233326365;0.233014289;0.232316943;0.230671552;0.226673808;0.216720728;0.190511012;0.116449993;0
JAP;0.1513;0.206848398;0.203357227;0.203153724;0.208171156;0.213307729;0.21487401;0.216028238;0.219107504;0.225957747;0.231176626;0.231929058;0.232463502;0.232956487;0.233340214;0.233841199;0.234183425;0.234551426;0.234925858;0.235286179;0.235723771;0.235877757;0.236033889;0.236155828;0.236176513;0.236530286;0.236672087;0.236576073;0.236410046;0.235657399;0.235029509;0.235141544;0.235109537;0.235143152;0.235282229;0.23525034;0.235253311;0.235303184;0.235448058;0.235413409;0.23540241;0.235415194;0.235469148;0.235614416;0.235575775;0.23555354;0.23553863;0.235525658;0.235509682;0.235482729;0.235427503;0.23530322;0.235011856;0.234316456;0.232641054;0.228569287;0.218113554;0.191411597;0.116129538;0
RUS;0.1912;0.202854967;0.201901851;0.203901387;0.205887965;0.20793513;0.209883133;0.211537687;0.215220211;0.223960671;0.23054612;0.23150409;0.232238341;0.232912348;0.23343461;0.233966775;0.234472354;0.234882434;0.235033358;0.234929214;0.234914198;0.235104759;0.235409645;0.235526788;0.23560506;0.236094352;0.23621109;0.236125849;0.236015109;0.2354075;0.234966558;0.234965505;0.235110031;0.235133819;0.235287857;0.235308807;0.235443754;0.235412023;0.235417143;0.235470207;0.235618811;0.235588228;0.235581337;0.23559828;0.23565634;0.235805456;0.235770008;0.235749078;0.235731168;0.235704844;0.235650563;0.235525183;0.235226611;0.23450915;0.232776773;0.228565602;0.218176253;0.191591215;0.116151362;0
EUR;0.195;0.207115153;0.205320568;0.205119821;0.204882053;0.206281271;0.208309636;0.210780951;0.214071763;0.220014143;0.224160036;0.225277608;0.226419495;0.227256014;0.22811396;0.228940578;0.229643586;0.230396026;0.231194385;0.23245591;0.233473136;0.233817291;0.234172451;0.234506712;0.234766403;0.23518873;0.23538486;0.235591438;0.235435224;0.2348462;0.234470697;0.234617578;0.234735662;0.234762222;0.234955015;0.235086961;0.235099367;0.235235404;0.235217808;0.235262448;0.235413848;0.235402128;0.235446345;0.235589481;0.235553756;0.235538651;0.235538042;0.235555094;0.23560625;0.235735419;0.235650476;0.235509817;0.23520325;0.234480639;0.232742553;0.228520127;0.218102078;0.191434468;0.116165672;0
CHI;0.3571;0.215795416;0.210059272;0.206852168;0.205370495;0.207001167;0.208946477;0.211134222;0.214447488;0.220489725;0.224954287;0.225487272;0.226336803;0.226957548;0.227442291;0.227954823;0.228481665;0.229014558;0.229536984;0.230419532;0.231243423;0.231388519;0.231525547;0.231618485;0.231577293;0.231676678;0.23170032;0.231691466;0.231258976;0.230252572;0.22946324;0.229262313;0.229253617;0.229187051;0.229007193;0.228965028;0.228793411;0.228751482;0.228571826;0.228508259;0.228274157;0.228078812;0.2279298;0.227874457;0.227635354;0.227422161;0.227230277;0.227076244;0.227009249;0.226747845;0.226490161;0.226196373;0.225792223;0.225095095;0.223630862;0.220143655;0.211217204;0.187034712;0.117625678;0
IND;0.2948;0.22600088;0.220509905;0.216467266;0.211455862;0.210362321;0.212272874;0.213954766;0.21551065;0.216853367;0.218131529;0.21947419;0.220819948;0.221956216;0.223144378;0.224224929;0.224852987;0.225942846;0.227449494;0.230194895;0.232367856;0.232935812;0.233414014;0.233696384;0.233902991;0.234449833;0.23481745;0.23500482;0.234851295;0.234299273;0.233956003;0.234119243;0.234291039;0.234460898;0.234615173;0.234726247;0.234730062;0.234872141;0.234889433;0.235035049;0.235046345;0.235171159;0.235128775;0.235123075;0.235164981;0.2353019;0.23525849;0.235236753;0.235233728;0.235259652;0.235347487;0.235180455;0.234858806;0.234130431;0.232398492;0.228201029;0.217837197;0.191259279;0.116217011;0
MEST;0.257;0.255132894;0.247022602;0.240183434;0.232951206;0.230944484;0.232138948;0.232624258;0.231738912;0.227041723;0.223678182;0.224614697;0.225232728;0.225630175;0.226262458;0.226781589;0.227407951;0.22824011;0.229537257;0.231959845;0.233825145;0.234157191;0.234346079;0.234613749;0.234634548;0.235170337;0.23534496;0.235396825;0.23523655;0.234587419;0.234285028;0.234387618;0.234383895;0.234518743;0.234528879;0.234667682;0.23467221;0.234790599;0.234741817;0.234730063;0.234766138;0.234897631;0.234849587;0.234825537;0.234825148;0.234865573;0.234996518;0.234941494;0.234898748;0.234852418;0.234781475;0.234643177;0.234337846;0.233625095;0.231918557;0.22776924;0.217493255;0.191058101;0.116364765;0
AFR;0.2979;0.249406772;0.243725791;0.237142778;0.22705409;0.222825266;0.22458417;0.225569241;0.22462895;0.218737208;0.214597982;0.215730456;0.216756431;0.217621619;0.218640478;0.219447475;0.220402883;0.221563093;0.223117274;0.226175969;0.229080072;0.231570359;0.23204073;0.232335004;0.232653963;0.232975609;0.23309685;0.23325724;0.23310827;0.232642099;0.232195969;0.232276243;0.232372046;0.232460467;0.232513367;0.232471464;0.232595207;0.232656083;0.232597234;0.232663138;0.23257409;0.232548342;0.232628998;0.232545033;0.232518425;0.232591014;0.232484429;0.23240223;0.232339852;0.232308389;0.232343378;0.232132563;0.231789863;0.231082839;0.229453797;0.225506811;0.215631817;0.189843216;0.116688307;0
LAM;0.2357;0.230043826;0.224802018;0.219813484;0.215727452;0.215545076;0.217107056;0.218662043;0.220232868;0.221928003;0.223528588;0.224629744;0.225130424;0.225905622;0.22659802;0.227320903;0.228072616;0.228864979;0.230121942;0.232459837;0.234147773;0.234534531;0.234882685;0.23514269;0.235190809;0.235694241;0.235865722;0.235922705;0.235764189;0.23510079;0.234664954;0.234809651;0.234919898;0.234926832;0.235072764;0.235091585;0.235230357;0.23521365;0.235258282;0.235409247;0.235396944;0.235440719;0.235584002;0.235549993;0.235540512;0.235555014;0.235610112;0.235754591;0.235710264;0.235670215;0.235608423;0.23547853;0.235176757;0.23445625;0.232719428;0.228498718;0.218083954;0.191421769;0.11616761;0
